food,calories_kcal,carbs_g,protein_g,fat_g,serving_size_g,sugar_g,fibre_g,sodium_mg
Paneer makhana korma,4709.2041015625,28.11614990234375,19.679550170898438,502.3401794433594,607.0000115418657,11.175649642944336,1.273400068283081,467.43023681640625
Kadhai Paneer,343.5564880371094,23.353641510009766,13.784425735473633,21.65658187866211,318.130016007814,17.620891571044922,6.577260971069336,459.1583251953125
Roghan josh,329.4371032714844,11.632859230041504,22.55935287475586,21.291690826416016,236.00998359879242,6.280397891998291,4.900753021240234,482.1952819824219
Spinach mutton (Palak mutton),390.3821105957031,16.757858276367188,27.909353256225586,22.89168930053711,486.00997095799494,6.880397796630859,10.850752830505371,588.5702514648438
Pea keema curry (Matar keema ki sabzi),457.30413818359375,21.455467224121094,28.995527267456055,27.9793701171875,343.82999204658705,6.2506632804870605,10.175858497619629,510.1616516113281
Keema kofta curry,63.824092864990234,2.332512617111206,4.037056922912598,4.29274320602417,41.32249962646479,0.8833091259002686,0.6228535175323486,128.7240447998047
Kashmiri mutton koftas (Gushtaba),296.1949157714844,9.246049880981445,19.258424758911133,20.574251174926758,304.0250001843383,6.461100101470947,1.898900032043457,395.57080078125
Mutton yakhni,241.72628784179688,1.9560000896453857,19.204200744628906,17.87619972229004,232.1499991574028,0.2909500002861023,1.5601500272750854,234.51100158691406
Chicken yakhni,249.63348388671875,1.9560000896453857,26.876201629638672,15.376200675964355,252.1500065609428,0.2909500002861023,1.5601500272750854,245.55099487304688
Mutton do piaza,603.0726318359375,13.610000610351562,30.88202476501465,47.41254806518555,328.99999775805077,9.555999755859375,6.338375091552734,390.2515563964844
Mutton chops,2320.30908203125,5.171394348144531,14.08968734741211,249.34158325195312,349.63498907715035,1.4569834470748901,0.6024659872055054,178.4309539794922
Shammi kebab,1173.9541015625,6.0562825202941895,7.732704162597656,124.3100814819336,171.2075023387297,0.5389482378959656,1.7976720333099365,92.92144012451172
Scotch egg,2318.052001953125,6.533644199371338,13.87364387512207,248.70188903808594,342.45497605998327,1.0121170282363892,1.22530198097229,310.51776123046875
Shepherd's pie (with minced meat),267.8844909667969,15.1187744140625,13.976149559020996,16.65792465209961,187.62499577322015,3.187150001525879,1.9634500741958618,370.0851135253906
Chicken curry,320.3783874511719,8.376077651977539,29.24267578125,18.765703201293945,247.9250020554177,4.439764976501465,3.485995054244995,267.77069091796875
